# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,968,98.9,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,2.2,skip
bcsstk04,132,COLAMD,3622,3.5,skip
bcsstk04,132,ND,3702,539.0,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,70.2,skip
Kuu,7102,AMD,406264,560.8,skip
Kuu,7102,COLAMD,830665,4343.5,skip
Kuu,7102,ND,924385,13208.5,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.8,skip
bcsstk14,1806,AMD,116071,125.9,skip
bcsstk14,1806,COLAMD,146037,178.1,skip
bcsstk14,1806,ND,131017,5544.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,36.4,skip
s3rmt3m3,5357,AMD,474609,768.3,skip
s3rmt3m3,5357,COLAMD,607647,1154.5,skip
s3rmt3m3,5357,ND,478890,13477.6,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,182.8,skip
Pres_Poisson,14822,AMD,2668793,8977.3,skip
Pres_Poisson,14822,COLAMD,3415793,14308.2,skip
Pres_Poisson,14822,ND,2541734,38025.7,skip
