matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.4,skip
nos4,100,AMD,637,0.3,skip
nos4,100,COLAMD,778,0.5,skip
nos4,100,ND,968,118.5,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,1.2,skip
bcsstk04,132,AMD,3143,2.3,skip
bcsstk04,132,COLAMD,3622,3.4,skip
bcsstk04,132,ND,3702,547.4,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,75.1,skip
Kuu,7102,AMD,406264,530.2,skip
Kuu,7102,COLAMD,830665,4256.7,skip
Kuu,7102,ND,924385,13736.0,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,12.6,skip
bcsstk14,1806,AMD,116071,106.6,skip
bcsstk14,1806,COLAMD,146037,203.1,skip
bcsstk14,1806,ND,131017,5824.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,35.7,skip
s3rmt3m3,5357,AMD,474609,666.6,skip
s3rmt3m3,5357,COLAMD,607647,1318.0,skip
s3rmt3m3,5357,ND,478890,14524.2,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,163.2,skip
Pres_Poisson,14822,AMD,2668793,7369.2,skip
Pres_Poisson,14822,COLAMD,3415793,15304.8,skip
Pres_Poisson,14822,ND,2541734,39316.2,skip
